zone_risk_score,earnings_baseline,trust_score,past_claims_count,claim_approval_rate,weeks_active,forecast_rain_mm,forecast_aqi,tier_basic,tier_standard,tier_premium,city_bangalore,city_mumbai,city_delhi,city_chennai,city_hyderabad,month,recommended_weekly_premium
61,2274.46,71,12,0.739,34,3.08,346,0,1,0,0,1,0,0,0,12,188
24,1730.84,59,8,0.858,21,39.48,60,1,0,0,0,0,1,0,0,8,129
81,866.81,78,10,0.89,25,14.6,105,1,0,0,0,1,0,0,0,4,129
70,512.17,60,8,0.948,21,0.05,330,0,0,1,0,1,0,0,0,6,300
30,1691.77,77,5,0.951,20,18.24,181,0,0,1,1,0,0,0,0,12,264
92,499.54,51,9,0.878,24,2.14,92,0,1,0,0,0,1,0,0,4,179
84,1686.72,70,3,0.924,5,4.02,57,0,1,0,0,0,1,0,0,8,193
84,873.72,80,9,1.0,41,1.26,62,0,1,0,0,0,1,0,0,6,189
33,2299.78,90,4,0.912,2,0.11,300,0,1,0,0,0,0,0,1,9,167
12,1397.69,66,12,0.845,9,7.01,185,0,0,1,1,0,0,0,0,7,284
31,870.27,76,8,0.919,43,3.37,313,0,0,1,0,0,1,0,0,7,278
62,2191.61,79,0,0.972,8,4.47,69,1,0,0,1,0,0,0,0,7,122
11,933.47,90,6,1.0,32,1.85,87,0,0,1,1,0,0,0,0,4,249
39,1043.86,57,14,0.686,7,16.42,42,0,1,0,0,1,0,0,0,10,199
47,2151.98,86,10,0.604,38,1.91,113,0,0,1,0,0,0,0,1,7,286
11,1048.46,54,6,0.881,20,7.28,304,0,0,1,0,0,0,0,1,9,277
73,1261.34,75,9,0.633,47,6.34,55,0,1,0,0,0,0,0,1,4,185
69,1130.1,55,0,0.813,15,25.22,208,1,0,0,0,1,0,0,0,9,129
30,644.44,65,13,1.0,39,44.01,303,0,1,0,0,0,1,0,0,1,191
42,481.68,50,0,0.851,28,23.62,200,1,0,0,1,0,0,0,0,3,118
85,1921.54,58,14,0.852,31,13.22,325,0,1,0,1,0,0,0,0,1,196
