trust_score,gps_speed_kmph,gps_jump_km,gps_in_zone,api_confirmed,same_event_claims_count,pincode_changes_30days,weekly_claims,avg_weekly_claims,claim_spike_ratio,payout_amount,earnings_baseline,payout_vs_baseline_ratio,hours_since_last_claim,zone_disruption_confirmed,neighbor_zone_payout,fraud_risk_score
89,32.28174221259544,0.6129153879316371,1,1,1,0,1,0.9180630769119285,0.6034488508656463,396.9234200734961,913.066009883592,0.4618377301273507,237.78794597554318,1,0,12
91,17.28911374769635,1.589886373262191,1,1,1,0,2,0.6623932022459861,0.9421625765057507,603.0160851258772,1191.3820290241138,0.8971594353745147,111.35861457871546,1,0,14
73,39.72792489854173,1.1094031687432402,1,1,1,1,2,1.2099504848058447,1.4774761469047935,724.3984994988484,1193.2000347192102,0.21006785993314647,707.1628131019489,1,0,3
91,25.47045435331704,1.769562658593258,1,1,1,0,1,1.1304031740183609,1.2766558022348207,267.4281905877211,760.828802094599,0.7594748736863113,704.4596065512185,1,0,2
91,30.73207066496135,0.10430076373946817,1,1,1,1,1,1.3707999096972743,1.4930772987443686,782.7487008872645,622.55927403252,0.7328408117842928,509.80128963264895,1,0,18
53,10.66893757900861,6.76175713488529,0,1,1,4,7,0.45845074781823336,3.0411088197148395,1919.475130849325,430.8672652280307,3.1246533748222536,5.722908957698207,1,0,83
82,5.596357724796465,1.7932442948394915,1,1,1,1,2,1.0816849402857358,1.1439041739333171,490.1725503839629,768.8561931738706,0.37748454306260243,485.5362044387747,1,0,4
96,19.570936365594697,1.954438790795762,1,1,1,1,0,1.2300307453252628,0.9724658584954348,762.7003831274,846.1029896557083,0.4148027434099324,468.6575465997669,1,0,11
89,34.243539729080084,0.8861764595626005,1,1,1,0,0,1.503448517547158,1.4767782658810247,600.0445648105613,1006.4473390489957,0.5219790541565273,561.7704151210992,1,0,1
73,8.310527462683115,0.44194333955092957,1,1,1,0,1,1.7142072070384091,0.5157862993820239,517.9784807633605,1473.3441700135247,0.27648500924150027,32.822344675629786,1,0,13
79,13.702729404985627,0.9336396220766401,1,1,1,0,2,0.5439937566249409,1.3134447461051648,429.5230497268261,992.33122205535,0.37245615408098587,596.5098699038555,1,0,18
78,37.08348919411033,0.5824699143385863,1,1,1,1,2,1.4612315087299428,1.4611276759877372,345.634019977358,1152.1851759449917,0.6942946210924418,530.2988295817001,1,0,0
72,28.314288383000292,0.245783857215214,1,1,1,0,2,1.9845484644332325,1.2047955008943023,620.0353062050883,1494.1952717473832,0.5584625490368998,607.6485207509477,1,0,0
88,23.67900049497095,1.093648718317109,1,1,1,1,0,1.931599766230736,1.0704088369955531,617.038645827088,1308.038174390137,0.8453099027623567,145.55479786656565,1,0,11
99,40.70403125377557,1.1370354155254163,1,1,1,1,1,0.7689570282231958,1.4010421419988566,292.54016069296466,786.7825952605358,0.5512916179685976,252.87401569946852,1,0,13
93,10.215929087189847,0.7836701097444096,1,1,1,1,0,0.8302031055240705,0.9786576333299405,224.88868589899232,790.2612098189596,0.8937004824717212,649.0788759389113,1,0,8
77,39.731406446023236,0.3256040623623391,1,1,1,1,1,0.6500188658189362,1.2622159450270378,772.9748729758204,1252.5137556265572,0.8184444921473948,613.9954723195699,1,0,16
71,33.35067645890456,1.1452035061291286,1,1,1,1,2,0.5645080128430416,1.249942164972818,657.6348419893134,1269.212977150569,0.42116986326142036,525.7977496165734,1,0,5
94,25.71067973425426,0.6100029738943846,1,1,1,0,2,1.0387487818664973,0.9644530184148579,374.5896691655484,1033.0982332282438,0.44563317791137946,333.8486568273383,1,0,15
86,27.60970719421418,0.14421454753529872,1,1,1,1,2,0.6510689130940248,0.5423236200726851,586.3649677853268,733.6580681741575,0.21063500478724181,706.5478465844973,1,0,4
49,10.66893757900861,0.9633488319686041,0,1,2,3,11,0.9795407288233695,5.1736647008026715,1657.9963094046225,300.0812992629475,3.593778847940703,10.268760725468496,1,1,98
75,18.592009945794032,0.22316370608047853,1,1,1,1,1,1.6856675546337878,1.2029892072941277,234.98893922147806,840.0031224148389,0.6015635073250756,415.88738043518265,1,0,12
90,25.7412339950178,0.9582938961120522,1,1,1,1,0,1.437473695604479,0.69925953324731,679.8719837002122,1352.4432748968902,0.7104931247150756,95.2744416010636,1,0,8
43,10.66893757900861,0.9633488319686041,1,1,4,2,5,0.6350216281807786,5.734562405504388,628.5983865705072,407.082640711058,3.293596097029284,8.277372942867476,0,1,98
78,34.670459916470435,0.3484851651572929,1,1,1,1,2,1.0537315995705505,0.685934264293011,230.66752377183445,1188.6407957405363,0.38902710000929397,385.17389060714794,1,0,3
41,124.22593695742808,6.76175713488529,1,0,3,4,11,0.758464950542252,5.062241866010266,581.8621620442847,625.3709598708399,3.53846009808571,9.08472329080664,1,0,77
88,29.96459925907818,1.1751572403289365,1,1,1,0,2,1.8926270536726661,1.2001613553194828,694.2598369305584,653.5870713127749,0.6383462195768573,188.8778438535103,1,0,3
71,9.737447812254489,0.23297437289300094,1,1,1,0,2,0.6723071402641603,0.668019892746157,755.7759837796395,976.1540512520903,0.8443898597419794,544.7268723725043,1,0,5
94,9.269985228292287,0.364254117142351,1,1,1,1,2,1.3744089365736996,0.5212923655043532,519.5323983326258,1146.5072606099548,0.739169274002109,545.9965074997489,1,0,6
81,29.48893508902905,1.2154115651499957,1,1,1,1,0,0.5108822742191761,0.6692268547142427,488.72697110971774,1060.1650480458181,0.8770333559008909,521.5137424677134,1,0,14
66,124.22593695742808,6.76175713488529,0,1,2,4,10,0.7781485557329446,4.087211684344444,1771.9910335390261,368.2121101838674,2.301885020758558,6.5911548888842315,0,1,74
85,27.35363715880573,0.7072529192888488,1,1,1,1,0,0.8546283234483478,1.1370642545944887,396.73624757974886,1373.5448503081175,0.3063922250172182,254.98450060439058,1,0,0
35,10.66893757900861,6.76175713488529,1,1,3,2,5,0.5453787789356321,5.010544234653538,1503.8650091559825,642.6033291700669,2.491421724645435,11.873618598231353,1,1,99
49,10.66893757900861,6.76175713488529,0,0,3,6,3,0.4155874314498421,5.520081735869018,1774.073362431007,729.7699379511087,2.218834641651615,6.631505162679343,1,1,75
52,124.22593695742808,0.9633488319686041,0,1,2,6,8,0.6250048954515589,4.684338354056802,654.4417369219152,790.3674779371169,2.831963585284853,0.6003300596917382,0,0,99
80,16.31460174571762,1.0549292157179768,1,1,1,1,1,0.9110554483033582,1.3993843575782696,232.25012904567308,939.3884057738364,0.7056064614459414,146.10956956528568,1,0,4
